Area,Payment,Ownership,Status,Bedrooms,Bathrooms,PrivateGarden,price
155,Cash or Installment,Resale,Ready,3,3,No,"EGP 6,493,000"
235,Cash,Resale,Ready,3,4,Yes,"EGP 8,500,000"
170,Installment,Resale,Off-plan,3,3,Yes,"EGP 7,600,000"
140,Cash,Primary,Ready,3,3,Yes,"EGP 5,500,000"
110,Cash,Primary,Ready,2,2,No,"EGP 5,500,000"
140,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
180,Cash,Primary,Ready,3,3,No,"EGP 6,500,000"
160,Cash,Resale,Ready,3,3,No,"EGP 7,300,000"
170,Cash,Resale,Ready,3,2,No,"EGP 7,700,000"
165,Cash,Primary,Ready,3,3,No,"EGP 5,950,000"
145,Cash,Primary,Ready,3,3,No,"EGP 5,250,000"
165,Cash,Primary,Ready,3,3,No,"EGP 7,000,000"
170,Cash,Primary,Ready,3,3,No,"EGP 5,700,000"
180,Cash,Resale,Ready,3,2,Yes,"EGP 7,350,000"
160,Cash,Primary,Ready,3,3,Yes,"EGP 5,000,000"
145,Cash,Resale,Ready,2,3,Yes,"EGP 5,500,000"
135,Cash or Installment,Resale,Ready,2,2,No,"EGP 5,100,000"
150,Installment,Resale,Off-plan,3,3,No,"EGP 7,410,750"
180,Cash,Resale,Ready,3,3,No,"EGP 7,000,000"
130,Cash,Resale,Ready,2,2,No,"EGP 5,150,000"
170,Installment,Resale,Ready,3,3,No,"EGP 8,670,000"
155,Installment,Resale,Ready,2,2,No,"EGP 6,630,000"
170,Installment,Resale,Ready,3,3,No,"EGP 7,961,360"
150,Installment,Resale,Ready,3,3,No,"EGP 7,087,201"
155,Installment,Resale,Ready,3,3,No,"EGP 7,800,000"
245,Cash or Installment,Primary,Ready,4,3,Yes,"EGP 22,000,000"
245,Cash or Installment,Primary,Ready,4,3,Yes,"EGP 22,000,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
170,Cash,Resale,Ready,3,3,Yes,"EGP 6,500,000"
235,Installment,Resale,Off-plan,3,3,No,"EGP 10,510,000"
170,Installment,Resale,Ready,3,3,No,"EGP 7,958,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 5,750,000"
175,Installment,Resale,Off-plan,3,3,No,"EGP 7,975,000"
165,Installment,Resale,Ready,3,3,No,"EGP 6,765,000"
170,Cash,Resale,Ready,3,2,Yes,"EGP 7,700,000"
165,Installment,Resale,Off-plan,3,3,Yes,"EGP 6,000,000"
165,Cash,Resale,Ready,3,3,No,"EGP 5,950,000"
140,Cash or Installment,Primary,Ready,2,2,Yes,"EGP 9,000,196"
170,Cash,Resale,Ready,3,3,No,"EGP 6,200,000"
170,Cash,Resale,Ready,3,3,No,"EGP 6,200,000"
160,Cash,Primary,Ready,3,2,Yes,"EGP 4,800,000"
160,Cash or Installment,Primary,Ready,3,3,Yes,"EGP 14,000,000"
